SubCategoryCode,CODE,SHORT DESCRIPTION (VALID ICD-10 FY2024),LONG DESCRIPTION (VALID ICD-10 FY2024)
F18,F18951,"Inhalant use, unsp w inhalnt-induce psych disord w hallucin","Inhalant use, unspecified with inhalant-induced psychotic disorder with hallucinations"
F18,F18959,"Inhalant use, unsp w inhalnt-induce psychotic disorder, unsp","Inhalant use, unspecified with inhalant-induced psychotic disorder, unspecified"
F18,F1897,"Inhalant use, unsp with inhalant-induced persisting dementia","Inhalant use, unspecified with inhalant-induced persisting dementia"
F18,F18980,"Inhalant use, unsp with inhalant-induced anxiety disorder","Inhalant use, unspecified with inhalant-induced anxiety disorder"
F18,F18988,"Inhalant use, unsp with other inhalant-induced disorder","Inhalant use, unspecified with other inhalant-induced disorder"
F18,F1899,"Inhalant use, unsp with unsp inhalant-induced disorder","Inhalant use, unspecified with unspecified inhalant-induced disorder"
F19,F1910,"Other psychoactive substance abuse, uncomplicated","Other psychoactive substance abuse, uncomplicated"
F19,F1911,"Other psychoactive substance abuse, in remission","Other psychoactive substance abuse, in remission"
F19,F19120,"Oth psychoactive substance abuse w intoxication, uncomp","Other psychoactive substance abuse with intoxication, uncomplicated"
F19,F19121,Oth psychoactive substance abuse with intoxication delirium,Other psychoactive substance abuse with intoxication delirium
F19,F19122,Oth psychoactv substance abuse w intox w perceptual disturb,Other psychoactive substance abuse with intoxication with perceptual disturbances
F19,F19129,"Other psychoactive substance abuse with intoxication, unsp","Other psychoactive substance abuse with intoxication, unspecified"
F19,F19130,"Other psychoactive substance abuse with withdrawal, uncomp","Other psychoactive substance abuse with withdrawal, uncomplicated"
F19,F19131,Other psychoactive substance abuse with withdrawal delirium,Other psychoactive substance abuse with withdrawal delirium
F19,F19132,Other psychoactv sub abuse with w/drawal w perceptl disturb,Other psychoactive substance abuse with withdrawal with perceptual disturbance
F19,F19139,"Other psychoactv substance abuse with withdrawal, unsp","Other psychoactive substance abuse with withdrawal, unspecified"
F19,F1914,Oth psychoactive substance abuse w mood disorder,Other psychoactive substance abuse with psychoactive substance-induced mood disorder
F19,F19150,Oth psychoactv substance abuse w psych disorder w delusions,Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder with delusions
F19,F19151,Oth psychoactv substance abuse w psych disorder w hallucin,Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder with hallucinations
F19,F19159,"Oth psychoactive substance abuse w psychotic disorder, unsp","Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder, unspecified"
F19,F1916,Oth psychoactv substance abuse w persist amnestic disorder,Other psychoactive substance abuse with psychoactive substance-induced persisting amnestic disorder
F19,F1917,Oth psychoactive substance abuse w persisting dementia,Other psychoactive substance abuse with psychoactive substance-induced persisting dementia
F19,F19180,Oth psychoactive substance abuse w anxiety disorder,Other psychoactive substance abuse with psychoactive substance-induced anxiety disorder
F19,F19181,Oth psychoactive substance abuse w sexual dysfunction,Other psychoactive substance abuse with psychoactive substance-induced sexual dysfunction
F19,F19182,Oth psychoactive substance abuse w sleep disorder,Other psychoactive substance abuse with psychoactive substance-induced sleep disorder
F19,F19188,Oth psychoactive substance abuse w oth disorder,Other psychoactive substance abuse with other psychoactive substance-induced disorder
F19,F1919,Oth psychoactive substance abuse w unsp disorder,Other psychoactive substance abuse with unspecified psychoactive substance-induced disorder
F19,F1920,"Other psychoactive substance dependence, uncomplicated","Other psychoactive substance dependence, uncomplicated"
F19,F1921,"Other psychoactive substance dependence, in remission","Other psychoactive substance dependence, in remission"
F19,F19220,"Oth psychoactive substance dependence w intoxication, uncomp","Other psychoactive substance dependence with intoxication, uncomplicated"
F19,F19221,Oth psychoactive substance dependence w intox delirium,Other psychoactive substance dependence with intoxication delirium
F19,F19222,Oth psychoactv substance depend w intox w perceptual disturb,Other psychoactive substance dependence with intoxication with perceptual disturbance
F19,F19229,"Oth psychoactive substance dependence w intoxication, unsp","Other psychoactive substance dependence with intoxication, unspecified"
F19,F19230,"Oth psychoactive substance dependence w withdrawal, uncomp","Other psychoactive substance dependence with withdrawal, uncomplicated"
F19,F19231,Oth psychoactive substance dependence w withdrawal delirium,Other psychoactive substance dependence with withdrawal delirium
F19,F19232,Oth psychoactv sub depend w w/drawal w perceptl disturb,Other psychoactive substance dependence with withdrawal with perceptual disturbance
F19,F19239,"Oth psychoactive substance dependence with withdrawal, unsp","Other psychoactive substance dependence with withdrawal, unspecified"
F19,F1924,Oth psychoactive substance dependence w mood disorder,Other psychoactive substance dependence with psychoactive substance-induced mood disorder
F19,F19250,Oth psychoactv substance depend w psych disorder w delusions,Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder with delusions
F19,F19251,Oth psychoactv substance depend w psych disorder w hallucin,Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder with hallucinations
F19,F19259,"Oth psychoactv substance depend w psychotic disorder, unsp","Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder, unspecified"
F19,F1926,Oth psychoactv substance depend w persist amnestic disorder,Other psychoactive substance dependence with psychoactive substance-induced persisting amnestic disorder
F19,F1927,Oth psychoactive substance dependence w persisting dementia,Other psychoactive substance dependence with psychoactive substance-induced persisting dementia
F19,F19280,Oth psychoactive substance dependence w anxiety disorder,Other psychoactive substance dependence with psychoactive substance-induced anxiety disorder
F19,F19281,Oth psychoactive substance dependence w sexual dysfunction,Other psychoactive substance dependence with psychoactive substance-induced sexual dysfunction
F19,F19282,Oth psychoactive substance dependence w sleep disorder,Other psychoactive substance dependence with psychoactive substance-induced sleep disorder
F19,F19288,Oth psychoactive substance dependence w oth disorder,Other psychoactive substance dependence with other psychoactive substance-induced disorder
F19,F1929,Oth psychoactive substance dependence w unsp disorder,Other psychoactive substance dependence with unspecified psychoactive substance-induced disorder
F19,F1990,"Other psychoactive substance use, unspecified, uncomplicated","Other psychoactive substance use, unspecified, uncomplicated"
F19,F1991,"Other psychoactive substance use, unspecified, in remission","Other psychoactive substance use, unspecified, in remission"
F19,F19920,"Oth psychoactive substance use, unsp w intoxication, uncomp","Other psychoactive substance use, unspecified with intoxication, uncomplicated"
F19,F19921,"Oth psychoactive substance use, unsp w intox w delirium","Other psychoactive substance use, unspecified with intoxication with delirium"
F19,F19922,"Oth psychoactv sub use, unsp w intox w perceptl disturb","Other psychoactive substance use, unspecified with intoxication with perceptual disturbance"
F19,F19929,"Oth psychoactive substance use, unsp with intoxication, unsp","Other psychoactive substance use, unspecified with intoxication, unspecified"
F19,F19930,"Oth psychoactive substance use, unsp w withdrawal, uncomp","Other psychoactive substance use, unspecified with withdrawal, uncomplicated"
F19,F19931,"Oth psychoactive substance use, unsp w withdrawal delirium","Other psychoactive substance use, unspecified with withdrawal delirium"
F19,F19932,"Oth psychoactv sub use, unsp w w/drawal w perceptl disturb","Other psychoactive substance use, unspecified with withdrawal with perceptual disturbance"
F19,F19939,"Other psychoactive substance use, unsp with withdrawal, unsp","Other psychoactive substance use, unspecified with withdrawal, unspecified"
F19,F1994,"Oth psychoactive substance use, unsp w mood disorder","Other psychoactive substance use, unspecified with psychoactive substance-induced mood disorder"
F19,F19950,"Oth psychoactv sub use, unsp w psych disorder w delusions","Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder with delusions"
F19,F19951,"Oth psychoactv sub use, unsp w psych disorder w hallucin","Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder with hallucinations"
F19,F19959,"Oth psychoactv substance use, unsp w psych disorder, unsp","Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder, unspecified"
F19,F1996,"Oth psychoactv sub use, unsp w persist amnestic disorder","Other psychoactive substance use, unspecified with psychoactive substance-induced persisting amnestic disorder"
F19,F1997,"Oth psychoactive substance use, unsp w persisting dementia","Other psychoactive substance use, unspecified with psychoactive substance-induced persisting dementia"
F19,F19980,"Oth psychoactive substance use, unsp w anxiety disorder","Other psychoactive substance use, unspecified with psychoactive substance-induced anxiety disorder"
F19,F19981,"Oth psychoactive substance use, unsp w sexual dysfunction","Other psychoactive substance use, unspecified with psychoactive substance-induced sexual dysfunction"
F19,F19982,"Oth psychoactive substance use, unsp w sleep disorder","Other psychoactive substance use, unspecified with psychoactive substance-induced sleep disorder"
F19,F19988,"Oth psychoactive substance use, unsp w oth disorder","Other psychoactive substance use, unspecified with other psychoactive substance-induced disorder"
F19,F1999,"Oth psychoactive substance use, unsp w unsp disorder","Other psychoactive substance use, unspecified with unspecified psychoactive substance-induced disorder"
F20,F200,Paranoid schizophrenia,Paranoid schizophrenia
F20,F201,Disorganized schizophrenia,Disorganized schizophrenia
F20,F202,Catatonic schizophrenia,Catatonic schizophrenia
F20,F203,Undifferentiated schizophrenia,Undifferentiated schizophrenia
F20,F205,Residual schizophrenia,Residual schizophrenia
F20,F2081,Schizophreniform disorder,Schizophreniform disorder
F20,F2089,Other schizophrenia,Other schizophrenia
F20,F209,"Schizophrenia, unspecified","Schizophrenia, unspecified"
F21,F21,Schizotypal disorder,Schizotypal disorder
F22,F22,Delusional disorders,Delusional disorders
F23,F23,Brief psychotic disorder,Brief psychotic disorder
F24,F24,Shared psychotic disorder,Shared psychotic disorder
F25,F250,"Schizoaffective disorder, bipolar type","Schizoaffective disorder, bipolar type"
F25,F251,"Schizoaffective disorder, depressive type","Schizoaffective disorder, depressive type"
F25,F258,Other schizoaffective disorders,Other schizoaffective disorders
F25,F259,"Schizoaffective disorder, unspecified","Schizoaffective disorder, unspecified"
F28,F28,Oth psych disorder not due to a sub or known physiol cond,Other psychotic disorder not due to a substance or known physiological condition
F29,F29,Unsp psychosis not due to a substance or known physiol cond,Unspecified psychosis not due to a substance or known physiological condition
F30,F3010,"Manic episode without psychotic symptoms, unspecified","Manic episode without psychotic symptoms, unspecified"
F30,F3011,"Manic episode without psychotic symptoms, mild","Manic episode without psychotic symptoms, mild"
F30,F3012,"Manic episode without psychotic symptoms, moderate","Manic episode without psychotic symptoms, moderate"
F30,F3013,"Manic episode, severe, without psychotic symptoms","Manic episode, severe, without psychotic symptoms"
F30,F302,"Manic episode, severe with psychotic symptoms","Manic episode, severe with psychotic symptoms"
F30,F303,Manic episode in partial remission,Manic episode in partial remission
F30,F304,Manic episode in full remission,Manic episode in full remission
F30,F308,Other manic episodes,Other manic episodes
F30,F309,"Manic episode, unspecified","Manic episode, unspecified"
F31,F310,"Bipolar disorder, current episode hypomanic","Bipolar disorder, current episode hypomanic"
F31,F3110,"Bipolar disord, crnt episode manic w/o psych features, unsp","Bipolar disorder, current episode manic without psychotic features, unspecified"
F31,F3111,"Bipolar disord, crnt episode manic w/o psych features, mild","Bipolar disorder, current episode manic without psychotic features, mild"
F31,F3112,"Bipolar disord, crnt episode manic w/o psych features, mod","Bipolar disorder, current episode manic without psychotic features, moderate"
F31,F3113,"Bipolar disord, crnt epsd manic w/o psych features, severe","Bipolar disorder, current episode manic without psychotic features, severe"
F31,F312,"Bipolar disord, crnt episode manic severe w psych features","Bipolar disorder, current episode manic severe with psychotic features"
F31,F3130,"Bipolar disord, crnt epsd depress, mild or mod severt, unsp","Bipolar disorder, current episode depressed, mild or moderate severity, unspecified"
F31,F3131,"Bipolar disorder, current episode depressed, mild","Bipolar disorder, current episode depressed, mild"
F31,F3132,"Bipolar disorder, current episode depressed, moderate","Bipolar disorder, current episode depressed, moderate"
F31,F314,"Bipolar disord, crnt epsd depress, sev, w/o psych features","Bipolar disorder, current episode depressed, severe, without psychotic features"
F31,F315,"Bipolar disord, crnt epsd depress, severe, w psych features","Bipolar disorder, current episode depressed, severe, with psychotic features"
F31,F3160,"Bipolar disorder, current episode mixed, unspecified","Bipolar disorder, current episode mixed, unspecified"
F31,F3161,"Bipolar disorder, current episode mixed, mild","Bipolar disorder, current episode mixed, mild"
F31,F3162,"Bipolar disorder, current episode mixed, moderate","Bipolar disorder, current episode mixed, moderate"
F31,F3163,"Bipolar disord, crnt epsd mixed, severe, w/o psych features","Bipolar disorder, current episode mixed, severe, without psychotic features"
F31,F3164,"Bipolar disord, crnt episode mixed, severe, w psych features","Bipolar disorder, current episode mixed, severe, with psychotic features"
F31,F3170,"Bipolar disord, currently in remis, most recent episode unsp","Bipolar disorder, currently in remission, most recent episode unspecified"
F31,F3171,"Bipolar disord, in partial remis, most recent epsd hypomanic","Bipolar disorder, in partial remission, most recent episode hypomanic"
F31,F3172,"Bipolar disord, in full remis, most recent episode hypomanic","Bipolar disorder, in full remission, most recent episode hypomanic"
F31,F3173,"Bipolar disord, in partial remis, most recent episode manic","Bipolar disorder, in partial remission, most recent episode manic"
F31,F3174,"Bipolar disorder, in full remis, most recent episode manic","Bipolar disorder, in full remission, most recent episode manic"
F31,F3175,"Bipolar disord, in partial remis, most recent epsd depress","Bipolar disorder, in partial remission, most recent episode depressed"
F31,F3176,"Bipolar disorder, in full remis, most recent episode depress","Bipolar disorder, in full remission, most recent episode depressed"
F31,F3177,"Bipolar disord, in partial remis, most recent episode mixed","Bipolar disorder, in partial remission, most recent episode mixed"
F31,F3178,"Bipolar disorder, in full remis, most recent episode mixed","Bipolar disorder, in full remission, most recent episode mixed"
F31,F3181,Bipolar II disorder,Bipolar II disorder
F31,F3189,Other bipolar disorder,Other bipolar disorder
F31,F319,"Bipolar disorder, unspecified","Bipolar disorder, unspecified"
F32,F320,"Major depressive disorder, single episode, mild","Major depressive disorder, single episode, mild"
F32,F321,"Major depressive disorder, single episode, moderate","Major depressive disorder, single episode, moderate"
F32,F322,"Major depressv disord, single epsd, sev w/o psych features","Major depressive disorder, single episode, severe without psychotic features"
F32,F323,"Major depressv disord, single epsd, severe w psych features","Major depressive disorder, single episode, severe with psychotic features"
F32,F324,"Major depressv disorder, single episode, in partial remis","Major depressive disorder, single episode, in partial remission"
F32,F325,"Major depressive disorder, single episode, in full remission","Major depressive disorder, single episode, in full remission"
F32,F328,Other depressive episodes,Other depressive episodes
F32,F3281,Premenstrual dysphoric disorder,Premenstrual dysphoric disorder
F32,F3289,Other specified depressive episodes,Other specified depressive episodes
F32,F329,"Major depressive disorder, single episode, unspecified","Major depressive disorder, single episode, unspecified"
F32,F32A,"Depression, unspecified","Depression, unspecified"
F33,F330,"Major depressive disorder, recurrent, mild","Major depressive disorder, recurrent, mild"
F33,F331,"Major depressive disorder, recurrent, moderate","Major depressive disorder, recurrent, moderate"
F33,F332,"Major depressv disorder, recurrent severe w/o psych features","Major depressive disorder, recurrent severe without psychotic features"
F33,F333,"Major depressv disorder, recurrent, severe w psych symptoms","Major depressive disorder, recurrent, severe with psychotic symptoms"
F33,F3340,"Major depressive disorder, recurrent, in remission, unsp","Major depressive disorder, recurrent, in remission, unspecified"
F33,F3341,"Major depressive disorder, recurrent, in partial remission","Major depressive disorder, recurrent, in partial remission"
F33,F3342,"Major depressive disorder, recurrent, in full remission","Major depressive disorder, recurrent, in full remission"
F33,F338,Other recurrent depressive disorders,Other recurrent depressive disorders
F33,F339,"Major depressive disorder, recurrent, unspecified","Major depressive disorder, recurrent, unspecified"
F34,F340,Cyclothymic disorder,Cyclothymic disorder
F34,F341,Dysthymic disorder,Dysthymic disorder                                                                                                                                                                                                                                              
F34,F348,Other persistent mood [affective] disorders,Other persistent mood [affective] disorders
F34,F3481,Disruptive mood dysregulation disorder,Disruptive mood dysregulation disorder
F34,F3489,Other specified persistent mood disorders,Other specified persistent mood disorders
F34,F349,"Persistent mood [affective] disorder, unspecified","Persistent mood [affective] disorder, unspecified"
F39,F39,Unspecified mood [affective] disorder,Unspecified mood [affective] disorder
F40,F4000,"Agoraphobia, unspecified","Agoraphobia, unspecified  "
F40,F4001,Agoraphobia with panic disorder,Agoraphobia with panic disorder   
F40,F4002,Agoraphobia without panic disorder,Agoraphobia without panic disorder
F40,F4010,"Social phobia, unspecified","Social phobia, unspecified"
F40,F4011,"Social phobia, generalized","Social phobia, generalized"
F40,F40210,Arachnophobia,Arachnophobia
F40,F40218,Other animal type phobia,Other animal type phobia
F40,F40220,Fear of thunderstorms,Fear of thunderstorms  
F40,F40228,Other natural environment type phobia,Other natural environment type phobia   
F40,F40230,Fear of blood,Fear of blood    
F40,F40231,Fear of injections and transfusions,Fear of injections and transfusions
F40,F40232,Fear of other medical care,Fear of other medical care
F40,F40233,Fear of injury,Fear of injury  
F40,F40240,Claustrophobia,Claustrophobia  
F40,F40241,Acrophobia,Acrophobia
F40,F40242,Fear of bridges,Fear of bridges  
F40,F40243,Fear of flying,Fear of flying
F40,F40248,Other situational type phobia,Other situational type phobia   
F40,F40290,Androphobia,Androphobia
F40,F40291,Gynephobia,Gynephobia  
F40,F40298,Other specified phobia,Other specified phobia
F40,F408,Other phobic anxiety disorders,Other phobic anxiety disorders
F40,F409,"Phobic anxiety disorder, unspecified","Phobic anxiety disorder, unspecified  "
F41,F410,Panic disorder without agoraphobia,Panic disorder [episodic paroxysmal anxiety]
F41,F411,Generalized anxiety disorder,Generalized anxiety disorder
F41,F413,Other mixed anxiety disorders,Other mixed anxiety disorders   
F41,F418,Other specified anxiety disorders,Other specified anxiety disorders
F41,F419,"Anxiety disorder, unspecified","Anxiety disorder, unspecified"
F42,F42,Obsessive-compulsive disorder,Obsessive-compulsive disorder
F42,F422,Mixed obsessional thoughts and acts,Mixed obsessional thoughts and acts
F42,F423,Hoarding disorder,Hoarding disorder
F42,F424,Excoriation (skin-picking) disorder,Excoriation (skin-picking) disorder
F42,F428,Other obsessive-compulsive disorder,Other obsessive-compulsive disorder
F42,F429,"Obsessive-compulsive disorder, unspecified","Obsessive-compulsive disorder, unspecified"
F43,F430,Acute stress reaction,Acute stress reaction
F43,F4310,"Post-traumatic stress disorder, unspecified","Post-traumatic stress disorder, unspecified"
F43,F4311,"Post-traumatic stress disorder, acute","Post-traumatic stress disorder, acute"
F43,F4312,"Post-traumatic stress disorder, chronic","Post-traumatic stress disorder, chronic"
F43,F4320,"Adjustment disorder, unspecified","Adjustment disorder, unspecified"
F43,F4321,Adjustment disorder with depressed mood,Adjustment disorder with depressed mood
F43,F4322,Adjustment disorder with anxiety,Adjustment disorder with anxiety
F43,F4323,Adjustment disorder with mixed anxiety and depressed mood,Adjustment disorder with mixed anxiety and depressed mood
F43,F4324,Adjustment disorder with disturbance of conduct,Adjustment disorder with disturbance of conduct
F43,F4325,Adjustment disorder w mixed disturb of emotions and conduct,Adjustment disorder with mixed disturbance of emotions and conduct
F43,F4329,Adjustment disorder with other symptoms,Adjustment disorder with other symptoms
F43,F438,Other reactions to severe stress,Other reactions to severe stress
F43,F4381,Prolonged grief disorder,Prolonged grief disorder
F43,F4389,Other reactions to severe stress,Other reactions to severe stress
F43,F439,"Reaction to severe stress, unspecified","Reaction to severe stress, unspecified"
F44,F440,Dissociative amnesia,Dissociative amnesia  
F44,F441,Dissociative fugue,Dissociative fugue   
F44,F442,Dissociative stupor,Dissociative stupor  
F44,F444,Conversion disorder with motor symptom or deficit,Conversion disorder with motor symptom or deficit
F44,F445,Conversion disorder with seizures or convulsions,Conversion disorder with seizures or convulsions
F44,F446,Conversion disorder with sensory symptom or deficit,Conversion disorder with sensory symptom or deficit  
F44,F447,Conversion disorder with mixed symptom presentation,Conversion disorder with mixed symptom presentation
F44,F4481,Dissociative identity disorder,Dissociative identity disorder  
F44,F4489,Other dissociative and conversion disorders,Other dissociative and conversion disorders  
F44,F449,"Dissociative and conversion disorder, unspecified","Dissociative and conversion disorder, unspecified"
F45,F450,Somatization disorder,Somatization disorder
F45,F451,Undifferentiated somatoform disorder,Undifferentiated somatoform disorder   
F45,F4520,"Hypochondriacal disorder, unspecified","Hypochondriacal disorder, unspecified"
F45,F4521,Hypochondriasis,Hypochondriasis  
F45,F4522,Body dysmorphic disorder,Body dysmorphic disorder
F45,F4529,Other hypochondriacal disorders,Other hypochondriacal disorders
F45,F4541,Pain disorder exclusively related to psychological factors,Pain disorder exclusively related to psychological factors
F45,F4542,Pain disorder with related psychological factors,Pain disorder with related psychological factors
F45,F458,Other somatoform disorders,Other somatoform disorders   
F45,F459,"Somatoform disorder, unspecified","Somatoform disorder, unspecified  "
F48,F481,Depersonalization-derealization syndrome,Depersonalization-derealization syndrome
F48,F482,Pseudobulbar affect,Pseudobulbar affect
F48,F488,Other specified nonpsychotic mental disorders,Other specified nonpsychotic mental disorders
F48,F489,"Nonpsychotic mental disorder, unspecified","Nonpsychotic mental disorder, unspecified    "
F50,F5000,"Anorexia nervosa, unspecified","Anorexia nervosa, unspecified"
F50,F5001,"Anorexia nervosa, restricting type","Anorexia nervosa, restricting type"
F50,F5002,"Anorexia nervosa, binge eating/purging type","Anorexia nervosa, binge eating/purging type"
F50,F502,Bulimia nervosa,Bulimia nervosa
F50,F508,Other eating disorders,Other eating disorders
F50,F5081,Binge eating disorder,Binge eating disorder
F50,F5082,Avoidant/restrictive food intake disorder,Avoidant/restrictive food intake disorder
F50,F5089,Other specified eating disorder,Other specified eating disorder
F50,F509,"Eating disorder, unspecified","Eating disorder, unspecified"
F51,F5101,Primary insomnia,Primary insomnia
F51,F5102,Adjustment insomnia,Adjustment insomnia
F51,F5103,Paradoxical insomnia,Paradoxical insomnia
F51,F5104,Psychophysiologic insomnia,Psychophysiologic insomnia
F51,F5105,Insomnia due to other mental disorder,Insomnia due to other mental disorder
F51,F5109,Oth insomnia not due to a substance or known physiol cond,Other insomnia not due to a substance or known physiological condition
F51,F5111,Primary hypersomnia,Primary hypersomnia
F51,F5112,Insufficient sleep syndrome,Insufficient sleep syndrome
F51,F5113,Hypersomnia due to other mental disorder,Hypersomnia due to other mental disorder
F51,F5119,Oth hypersomnia not due to a substance or known physiol cond,Other hypersomnia not due to a substance or known physiological condition
F51,F513,Sleepwalking [somnambulism],Sleepwalking [somnambulism]
F51,F514,Sleep terrors [night terrors],Sleep terrors [night terrors]
F51,F515,Nightmare disorder,Nightmare disorder
F51,F518,Oth sleep disord not due to a sub or known physiol cond,Other sleep disorders not due to a substance or known physiological condition
F51,F519,"Sleep disorder not due to a sub or known physiol cond, unsp","Sleep disorder not due to a substance or known physiological condition, unspecified"
F52,F520,Hypoactive sexual desire disorder,Hypoactive sexual desire disorder
F52,F521,Sexual aversion disorder,Sexual aversion disorder
F52,F5221,Male erectile disorder,Male erectile disorder
F52,F5222,Female sexual arousal disorder,Female sexual arousal disorder
F52,F5231,Female orgasmic disorder,Female orgasmic disorder
F52,F5232,Male orgasmic disorder,Male orgasmic disorder
F52,F524,Premature ejaculation,Premature ejaculation
F52,F525,Vaginismus not due to a substance or known physiol condition,Vaginismus not due to a substance or known physiological condition
F52,F526,Dyspareunia not due to a substance or known physiol cond,Dyspareunia not due to a substance or known physiological condition
F52,F528,Oth sexual dysfnct not due to a sub or known physiol cond,Other sexual dysfunction not due to a substance or known physiological condition
F52,F529,Unsp sexual dysfnct not due to a sub or known physiol cond,Unspecified sexual dysfunction not due to a substance or known physiological condition
F53,F53,Puerperal psychosis,Puerperal psychosis
F53,F530,Postpartum depression,Postpartum depression
F53,F531,Puerperal psychosis,Puerperal psychosis
F54,F54,Psych & behavrl factors assoc w disord or dis classd elswhr,Psychological and behavioral factors associated with disorders or diseases classified elsewhere
F55,F550,Abuse of antacids,Abuse of antacids
F55,F551,Abuse of herbal or folk remedies,Abuse of herbal or folk remedies
F55,F552,Abuse of laxatives,Abuse of laxatives
F55,F553,Abuse of steroids or hormones,Abuse of steroids or hormones
F55,F554,Abuse of vitamins,Abuse of vitamins
F55,F558,Abuse of other non-psychoactive substances,Abuse of other non-psychoactive substances
F59,F59,Unsp behavrl synd assoc w physiol disturb and physcl factors,Unspecified behavioral syndromes associated with physiological disturbances and physical factors
F60,F600,f55,Paranoid personality disorder
F60,F601,Schizoid personality disorder,Schizoid personality disorder
F60,F602,Antisocial personality disorder,Antisocial personality disorder
F60,F603,Borderline personality disorder,Borderline personality disorder
F60,F604,Histrionic personality disorder,Histrionic personality disorder
F60,F605,Obsessive-compulsive personality disorder,Obsessive-compulsive personality disorder
F60,F606,Avoidant personality disorder,Avoidant personality disorder
F60,F607,Dependent personality disorder,Dependent personality disorder
F60,F6081,Narcissistic personality disorder,Narcissistic personality disorder
F60,F6089,Other specific personality disorders,Other specific personality disorders
F60,F609,"Personality disorder, unspecified","Personality disorder, unspecified"
F63,F630,Pathological gambling,Pathological gambling
F63,F631,Pyromania,Pyromania
F63,F632,Kleptomania,Kleptomania
F63,F633,Trichotillomania,Trichotillomania
F63,F6381,Intermittent explosive disorder,Intermittent explosive disorder
F63,F6389,Other impulse disorders,Other impulse disorders
F63,F639,"Impulse disorder, unspecified","Impulse disorder, unspecified"
F64,F640,Transsexualism,Transsexualism
F64,F641,Dual role transvestism,Dual role transvestism
F64,F642,Gender identity disorder of childhood,Gender identity disorder of childhood
F64,F648,Other gender identity disorders,Other gender identity disorders
F64,F649,"Gender identity disorder, unspecified","Gender identity disorder, unspecified"
F65,F650,Fetishism,Fetishism
F65,F651,Transvestic fetishism,Transvestic fetishism
F65,F652,Exhibitionism,Exhibitionism
F65,F653,Voyeurism,Voyeurism
F65,F654,Pedophilia,Pedophilia
F65,F6550,"Sadomasochism, unspecified","Sadomasochism, unspecified"
F65,F6551,Sexual masochism,Sexual masochism
F65,F6552,Sexual sadism,Sexual sadism
F65,F6581,Frotteurism,Frotteurism
F65,F6589,Other paraphilias,Other paraphilias
F65,F659,"Paraphilia, unspecified","Paraphilia, unspecified"
F66,F66,Other sexual disorders,Other sexual disorders
F68,F6810,"Factitious disorder imposed on self, unspecified","Factitious disorder imposed on self, unspecified"
F68,F6811,Factitious disorder w predom psych signs and symptoms,"Factitious disorder imposed on self, with predominantly psychological signs and symptoms"
F68,F6812,"Factit disord impsd on self, with predom physcl signs/symp","Factitious disorder imposed on self, with predominantly physical signs and symptoms"
F68,F6813,"Factit disord impsd on self, w comb psych & physcl signs/symp","Factitious disorder imposed on self, with combined psychological and physical signs and symptoms"
F68,F688,Other specified disorders of adult personality and behavior,Other specified disorders of adult personality and behavior  
F68,F68A,Factitious disorder imposed on another,Factitious disorder imposed on another
F69,F69,Unspecified disorder of adult personality and behavior,Unspecified disorder of adult personality and behavior
F70,F70,Mild intellectual disabilities,Mild intellectual disabilities
F71,F71,Moderate intellectual disabilities,Moderate intellectual disabilities
F72,F72,Severe intellectual disabilities,Severe intellectual disabilities
F73,F73,Profound intellectual disabilities,Profound intellectual disabilities
F78,F78,Other intellectual disabilities,Other intellectual disabilities
F78,F78A1,SYNGAP1-related intellectual disability,SYNGAP1-related intellectual disability
F78,F78A9,Other genetic related intellectual disability,Other genetic related intellectual disability
F79,F79,Unspecified intellectual disabilities,Unspecified intellectual disabilities
F80,F800,Phonological disorder,Phonological disorder
F80,F801,Expressive language disorder,Expressive language disorder
F80,F802,Mixed receptive-expressive language disorder,Mixed receptive-expressive language disorder
F80,F804,Speech and language development delay due to hearing loss,Speech and language development delay due to hearing loss
F80,F8081,Childhood onset fluency disorder,Childhood onset fluency disorder
F80,F8082,Social pragmatic communication disorder,Social pragmatic communication disorder
F80,F8089,Other developmental disorders of speech and language,Other developmental disorders of speech and language
F80,F809,"Developmental disorder of speech and language, unspecified","Developmental disorder of speech and language, unspecified"
F81,F810,Specific reading disorder,Specific reading disorder
F81,F812,Mathematics disorder,Mathematics disorder
F81,F8181,Disorder of written expression,Disorder of written expression
F81,F8189,Other developmental disorders of scholastic skills,Other developmental disorders of scholastic skills
F81,F819,"Developmental disorder of scholastic skills, unspecified","Developmental disorder of scholastic skills, unspecified"
F82,F82,Specific developmental disorder of motor function,Specific developmental disorder of motor function
F84,F840,Autistic disorder,Autistic disorder
F84,F842,Rett's syndrome,Rett's syndrome
F84,F843,Other childhood disintegrative disorder,Other childhood disintegrative disorder
F84,F845,Asperger's syndrome,Asperger's syndrome
F84,F848,Other pervasive developmental disorders,Other pervasive developmental disorders
F84,F849,"Pervasive developmental disorder, unspecified","Pervasive developmental disorder, unspecified"
